"Scaled score, ""WAIS-R DIGIT SYMB"", ""WAIS DIGIT SYMB"", ""TRAIL A"", ""DIGIT TIME"""																										
19													97									93:00:00				
18													93					95				88				81
17													89					90				84				77
16													85					86				79				73
15													81					82				75				69
14													77					77				70				65
13													73					73				66				61
12													69					69				61				57
11													65					64				57				53
10													61					60				53				49
9													57					56				48				45
8													53					51				44				40
7													49					47				39				36
6													45					43				35				32
5													41					36				JO				28
4													37					34				26				24
3													33					30				21				
2													29					25				17				
1													25					21				13				
0																		17								
